TimeStamp (UTC)," ""Latitude"""," ""Longitude"""," ""Altitude (Meter ASL)"""," ""Drone Yaw""",CO2 (ppm),Wind Direction,,Wind Speed
UTC 221222 111830 5 9 ,53.32823944,5.934398174,28.5,77.66,589,230°,,  8.61 m/s
UTC 221222 111845 5 9 ,53.3283844,5.935489178,28.55,70.42,589,236°,,  7.44 m/s
UTC 221222 111850 5 9 ,53.32855225,5.935473919,29.1,303.08,566,230°,,  6.59 m/s
UTC 221222 111855 5 9 ,53.32851791,5.935131073,29.05,256.13,503,232°,,  8.94 m/s
UTC 221222 111901 5 9 ,53.32846069,5.934688568,28.96,257.03,496,232°,,  8.00 m/s
UTC 221222 111905 5 9 ,53.32842255,5.934397221,28.92,256.85,459,232°,,  8.35 m/s
UTC 221222 111910 5 9 ,53.32837296,5.934028626,28.85,256.76,464,230°,,  7.94 m/s
UTC 221222 111915 5 9 ,53.32832336,5.933661461,28.79,256.64,454,229°,,  8.39 m/s
UTC 221222 111920 5 9 ,53.32827377,5.933293343,28.7,256.63,454,230°,,  8.89 m/s
UTC 221222 111925 5 9 ,53.32822418,5.932926178,28.67,256.39,445,238°,,  7.40 m/s
UTC 221222 111930 5 9 ,53.32817841,5.932561874,28.6,256.54,454,236°,,  7.24 m/s
UTC 221222 111935 5 9 ,53.32812881,5.932192326,28.54,256.51,439,244°,,  5.62 m/s
UTC 221222 111950 5 9 ,53.32798767,5.931101799,28.35,271.14,464,227°,,  6.24 m/s
UTC 221222 111955 5 9 ,53.32815933,5.931045055,28.33,49.92,491,236°,,  7.59 m/s
UTC 221222 112000 5 9 ,53.32820892,5.931396961,28.47,77.21,517,237°,,  7.50 m/s
UTC 221222 112005 5 9 ,53.3282547,5.931766033,28.58,77.69,531,238°,,  7.66 m/s
UTC 221222 112010 5 9 ,53.32830429,5.932132244,28.7,77.33,543,235°,,  7.59 m/s
UTC 221222 112015 5 9 ,53.32835388,5.932500839,28.81,77.64,555,239°,,  6.86 m/s
UTC 221222 112021 5 9 ,53.3284111,5.932940006,28.94,77.45,566,241°,,  6.52 m/s
UTC 221222 112025 5 9 ,53.32844925,5.933233261,29.04,77.61,575,233°,,  6.00 m/s
UTC 221222 112030 5 9 ,53.32849884,5.933600903,29.15,77.23,602,236°,,  6.84 m/s
UTC 221222 112035 5 9 ,53.32854843,5.93396616,29.26,77.34,611,238°,,  6.79 m/s
UTC 221222 112041 5 9 ,53.32860565,5.934410095,29.4,77.73,596,237°,,  6.41 m/s
UTC 221222 112055 5 9 ,53.32875824,5.935407162,29.76,41.69,602,235°,,  5.49 m/s
UTC 221222 112100 5 9 ,53.32891083,5.935285091,30.23,272.48,543,230°,,  7.48 m/s
UTC 221222 112106 5 9 ,53.32884979,5.934853554,30,256.81,526,228°,,  7.18 m/s
UTC 221222 112110 5 9 ,53.32881165,5.934565067,29.87,256.85,498,231°,,  6.19 m/s
UTC 221222 112115 5 9 ,53.32876587,5.934194565,29.76,256.81,485,233°,,  6.29 m/s
UTC 221222 112121 5 9 ,53.32870483,5.933750629,29.53,256.69,476,226°,,  6.52 m/s
UTC 221222 112125 5 9 ,53.32866669,5.933460236,29.42,256.78,485,226°,,  6.22 m/s
UTC 221222 112130 5 9 ,53.3286171,5.933090687,29.27,256.63,481,232°,,  6.42 m/s
UTC 221222 112135 5 9 ,53.3285675,5.932723045,29.1,256.48,481,227°,,  7.87 m/s
UTC 221222 112140 5 9 ,53.32851791,5.932358265,28.93,256.94,470,236°,,  5.29 m/s
UTC 221222 112145 5 9 ,53.32847214,5.931994438,28.82,256.85,454,231°,,  7.19 m/s
