Flight time,Altitude,Wind Direction,Wind Speed
63m 55s,27.4 m,236°,  8.34 m/s
64m 00s,27.4 m,235°,  9.42 m/s
64m 05s,27.4 m,235°,  7.34 m/s
64m 10s,27.4 m,236°,  8.87 m/s
64m 15s,27.4 m,237°,  8.24 m/s
64m 20s,27.4 m,236°,  8.29 m/s
64m 40s,27.4 m,241°,  8.47 m/s
64m 45s,27.3 m,241°,  8.54 m/s
64m 50s,27.4 m,237°,  8.59 m/s
64m 55s,27.3 m,243°,  8.10 m/s
65m 00s,27.4 m,242°,  8.12 m/s
65m 05s,27.3 m,244°,  8.95 m/s
65m 10s,27.3 m,241°,  7.96 m/s
65m 15s,27.3 m,242°,  8.90 m/s
65m 20s,27.3 m,244°,  8.19 m/s
65m 25s,27.3 m,241°,  8.01 m/s
65m 40s,27.3 m,229°,  10.12 m/s
65m 45s,27.3 m,236°,  8.55 m/s
65m 50s,27.4 m,236°,  7.38 m/s
65m 55s,27.4 m,234°,  9.83 m/s
66m 00s,27.5 m,238°,  10.39 m/s
66m 05s,27.5 m,241°,  9.66 m/s
66m 10s,27.5 m,231°,  5.94 m/s
66m 15s,27.5 m,242°,  6.69 m/s
66m 20s,27.6 m,240°,  8.16 m/s
66m 25s,27.6 m,234°,  9.43 m/s
66m 30s,27.6 m,231°,  9.33 m/s
66m 45s,28.0 m,245°,  7.50 m/s
66m 50s,28.0 m,233°,  5.84 m/s
66m 55s,27.9 m,229°,  7.56 m/s
67m 00s,27.8 m,237°,  8.46 m/s
67m 05s,27.8 m,233°,  8.11 m/s
67m 10s,27.7 m,235°,  8.33 m/s
67m 15s,27.7 m,237°,  7.74 m/s
67m 20s,27.6 m,238°,  8.42 m/s
67m 25s,27.5 m,241°,  8.38 m/s
67m 30s,27.4 m,235°,  8.18 m/s
67m 35s,27.4 m,237°,  7.93 m/s
67m 50s,27.4 m,231°,  10.05 m/s
67m 55s,27.5 m,236°,  10.25 m/s
68m 00s,27.6 m,238°,  10.23 m/s
68m 05s,27.7 m,237°,  8.89 m/s
68m 10s,27.8 m,241°,  8.72 m/s
68m 15s,27.9 m,238°,  8.86 m/s
68m 20s,28.0 m,239°,  10.29 m/s
68m 25s,28.1 m,233°,  8.89 m/s
68m 30s,28.2 m,240°,  8.20 m/s
68m 35s,28.3 m,237°,  9.23 m/s
68m 40s,28.4 m,236°,  9.32 m/s
