TimeStamp (UTC)," ""Latitude"""," ""Longitude"""," ""Altitude (Meter AGL)"""," ""Drone Yaw""",CO2 (ppm),Wind Direction,,Wind Speed
UTC 221212 130610 5 9 ,53.32774735,5.931150436,29.31,346.58,423,183°,,  3.74 m/s
UTC 221212 130615 5 9 ,53.3279686,5.931074619,29.03,346.46,442,191°,,  4.24 m/s
UTC 221212 130620 5 9 ,53.32818985,5.930994034,28.77,346.53,448,194°,,  4.07 m/s
UTC 221212 130625 5 9 ,53.32840729,5.930911541,28.53,346.4,448,195°,,  3.59 m/s
UTC 221212 130640 5 9 ,53.32892227,5.930720329,27.86,346.57,463,203°,,  1.68 m/s
UTC 221212 130644 5 9 ,53.32892227,5.930721283,27.87,346.5,475,195°,,  2.51 m/s
UTC 221212 130650 5 9 ,53.32892227,5.930721283,27.81,91.28,470,189°,,  2.42 m/s
UTC 221212 130655 5 9 ,53.32892227,5.930731773,35.99,112.56,475,185°,,  2.34 m/s
UTC 221212 130700 5 9 ,53.32891464,5.93076086,49.73,114.6,476,191°,,  2.37 m/s
UTC 221212 130710 5 9 ,53.32853699,5.932114124,49.81,113.82,400,205°,,  3.50 m/s
UTC 221212 130714 5 9 ,53.32824707,5.93313694,49.95,114.53,463,202°,,  3.32 m/s
UTC 221212 130725 5 9 ,53.32798386,5.934082508,49.8,114.98,502,189°,,  2.43 m/s
UTC 221212 130740 5 9 ,53.32791901,5.934310436,49.87,108.23,567,182°,,  7.76 m/s
UTC 221212 130755 5 9 ,53.32790756,5.934305668,23.08,327.4,548,181°,,  3.96 m/s
UTC 221212 130800 5 9 ,53.32790375,5.934307575,15.5,327.58,548,178°,,  3.76 m/s
UTC 221212 130805 5 9 ,53.32790375,5.934308052,9.21,327.58,542,213°,,  2.72 m/s
