TimeStamp (UTC)," ""TriggerID"""," ""Latitude"""," ""Longitude"""," ""Altitude (Meter AGL)""",Gimbal Roll," ""Gimbal Pitch"""," ""Gimbal Yaw"""," ""Drone Yaw"""," ""Combined Yaw""",HCHO (ppm),CO2 (ppm),TVOC (ppb),NO2 (ppm),C2H5OH (ppm),VOC (ppm),CO (ppm),Temp (Celcius),Pressure (pa),Altitude (meter)
UTC 221222 112655 5 9 ,654,53.32954407,5.933151245,26.97,0,0,0,77.29,77.29,0.01,589,28,27,314,54,124,9.99,100123,117.01
UTC 221222 112656 5 9 ,655,53.3295517,5.933224201,26.98,0,0,0,77.91,77.91,0.01,589,28,26,314,54,124,9.95,100122,117.01
UTC 221222 112657 5 9 ,656,53.32956314,5.933297634,27,0,0,0,77.83,77.83,0.01,596,29,27,314,54,123,9.94,100123,117.01
UTC 221222 112658 5 9 ,657,53.32957459,5.933372021,27.01,0,0,0,77.41,77.41,0.01,602,30,27,314,55,124,9.99,100120,117.01
UTC 221222 112659 5 9 ,658,53.32958221,5.933445454,27.03,0,0,0,76.98,76.98,0.01,602,30,26,314,54,124,9.99,100119,117.01
UTC 221222 112700 5 9 ,659,53.32959366,5.933519363,27.04,0,0,0,77.73,77.73,0.01,611,32,26,314,55,124,10.02,100117,117.01
UTC 221222 112701 5 9 ,660,53.32960129,5.933592796,27.05,0,0,0,77.91,77.91,0.01,602,30,26,313,55,124,10.04,100119,117.01
UTC 221222 112702 5 9 ,661,53.32961273,5.933665752,27.06,0,0,0,77.29,77.29,0.01,611,32,26,314,54,124,10.06,100120,117.01
UTC 221222 112703 5 9 ,662,53.32962418,5.933739185,27.08,0,0,0,77.61,77.61,0.01,624,34,27,314,54,124,10.11,100118,117.01
UTC 221222 112704 5 9 ,663,53.32963181,5.933812141,27.09,0,0,0,77.79,77.79,0.01,611,32,26,313,54,123,10.12,100118,117.01
UTC 221222 112705 5 9 ,664,53.32964325,5.933883667,27.11,0,0,0,77.88,77.88,0.01,611,32,26,314,55,124,10.16,100122,117.01
UTC 221222 112706 5 9 ,665,53.32965088,5.933956146,27.13,0,0,0,77.52,77.52,0.01,611,32,26,313,55,125,10.21,100116,117.01
UTC 221222 112707 5 9 ,666,53.32966232,5.93403101,27.14,0,0,0,77.46,77.46,0.01,611,32,27,313,55,124,10.25,100117,117.01
UTC 221222 112708 5 9 ,667,53.32966995,5.934101105,27.15,0,0,0,77.18,77.18,0.01,631,35,26,314,55,125,10.28,100120,117.01
UTC 221222 112709 5 9 ,668,53.3296814,5.934176445,27.17,0,0,0,76.95,76.95,0.01,611,32,26,314,55,124,10.3,100118,117.01
UTC 221222 112710 5 9 ,669,53.32968903,5.934249401,27.18,0,0,0,77.34,77.34,0.01,620,33,27,313,55,124,10.32,100118,117.01
UTC 221222 112711 5 9 ,670,53.32970047,5.934326172,27.19,0,0,0,76.95,76.95,0.01,624,34,27,314,55,125,10.34,100117,117.01
UTC 221222 112712 5 9 ,671,53.32971191,5.934400082,27.2,0,0,0,77.16,77.16,0.01,620,33,26,313,55,125,10.35,100120,117.01
UTC 221222 112713 5 9 ,672,53.32971954,5.934473991,27.22,0,0,0,77.52,77.52,0.01,631,35,27,314,55,125,10.38,100117,117.01
UTC 221222 112714 5 9 ,673,53.32973099,5.934545517,27.24,0,0,0,77.51,77.51,0.01,620,33,26,313,54,124,10.42,100119,117.01
UTC 221222 112715 5 9 ,674,53.32973862,5.934619427,27.25,0,0,0,77.26,77.26,0.01,620,33,26,313,55,125,10.45,100116,117.01
UTC 221222 112716 5 9 ,675,53.32975006,5.93469286,27.25,0,0,0,76.97,76.97,0.01,620,33,27,313,54,125,10.48,100113,117.01
UTC 221222 112717 5 9 ,676,53.32975769,5.934765339,27.27,0,0,0,77.49,77.49,0.01,620,33,27,314,55,125,10.51,100114,117.01
UTC 221222 112718 5 9 ,677,53.32976913,5.934838295,27.28,0,0,0,76.79,76.79,0.01,624,34,27,313,54,124,10.54,100118,117.01
UTC 221222 112719 5 9 ,678,53.32978058,5.934912205,27.29,0,0,0,77.68,77.68,0.01,631,35,27,313,54,125,10.54,100116,117.01
UTC 221222 112720 5 9 ,679,53.32978821,5.934975624,27.31,0,0,0,69.74,69.74,0.01,611,32,27,313,54,125,10.53,100115,117.01
UTC 221222 112721 5 9 ,680,53.32981873,5.935027123,27.34,0,0,0,35.89,35.89,0.01,611,32,27,313,54,124,10.55,100108,117.01
UTC 221222 112722 5 9 ,681,53.32985687,5.935044766,27.38,0,0,0,1.34,1.34,0.01,611,32,27,313,55,125,10.53,100092,125.42
UTC 221222 112723 5 9 ,682,53.32989883,5.935031891,27.44,0,0,0,347.2,347.2,0.01,611,32,28,314,54,125,10.49,100088,125.42
UTC 221222 112724 5 9 ,683,53.32993317,5.93500185,27.41,0,0,0,328.98,328.98,0.01,611,32,27,313,55,125,10.46,100081,125.42
UTC 221222 112725 5 9 ,684,53.32995987,5.934949398,27.41,0,0,0,297.82,297.82,0.01,589,28,27,313,55,125,10.44,100070,125.42
UTC 221222 112726 5 9 ,685,53.32996368,5.934886456,27.41,0,0,0,268.38,268.38,0.01,566,25,27,312,55,125,10.31,100068,125.42
UTC 221222 112727 5 9 ,686,53.32995605,5.93482542,27.4,0,0,0,256.35,256.35,0.01,549,22,27,312,54,124,10.23,100070,125.42
UTC 221222 112728 5 9 ,687,53.32994461,5.934762478,27.38,0,0,0,256,256,0.01,543,21,27,311,54,123,10.13,100058,125.42
UTC 221222 112729 5 9 ,688,53.32993698,5.934694767,27.36,0,0,0,256.28,256.28,0.01,549,22,26,312,54,122,10.05,100067,125.42
UTC 221222 112730 5 9 ,689,53.32992554,5.934623718,27.34,0,0,0,256.44,256.44,0.01,526,19,26,310,54,123,9.94,100061,125.42
UTC 221222 112731 5 9 ,690,53.32991409,5.934548378,27.32,0,0,0,256.53,256.53,0.01,519,18,26,310,54,122,9.86,100064,125.42
UTC 221222 112732 5 9 ,691,53.32990646,5.934473991,27.3,0,0,0,256.7,256.7,0.01,498,14,26,311,54,122,9.75,100059,125.42
UTC 221222 112733 5 9 ,692,53.32989502,5.934400082,27.31,0,0,0,256.62,256.62,0.01,498,14,26,313,54,122,9.65,100056,125.42
UTC 221222 112734 5 9 ,693,53.32988739,5.934327126,27.28,0,0,0,256.63,256.63,0.01,519,18,26,310,54,121,9.58,100055,125.42
UTC 221222 112735 5 9 ,694,53.32987595,5.93425417,27.25,0,0,0,256.82,256.82,0.01,491,13,26,312,54,121,9.51,100050,125.42
UTC 221222 112736 5 9 ,695,53.32986832,5.934179306,27.27,0,0,0,256.96,256.96,0.01,470,10,26,311,54,120,9.42,100054,125.42
UTC 221222 112737 5 9 ,696,53.32985687,5.934105396,27.25,0,0,0,256.7,256.7,0.01,481,12,26,311,53,121,9.36,100058,125.42
UTC 221222 112738 5 9 ,697,53.32984543,5.934031487,27.2,0,0,0,256.47,256.47,0.01,470,10,25,311,54,121,9.3,100066,125.42
